chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
12,13-14,1,13.1,योगी,योगी,योगिन्{पुं;1;एक},योगिन्{पुं;1;एक},"विशेषणम्,18.1","विधेय_विशेषणम्,12.1#विधेय_विशेषणम्,11.1#विधेय_विशेषणम्,10.1#विधेय_विशेषणम्,9.3#विधेय_विशेषणम्,8.2#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1#विशेषणम्,22.1#विशेषणम्,20.1#विशेषणम्,19.2#विशेषणम्,18.1#विशेषणम्,17.3#विशेषणम्,15.2#विशेषणम्,14.1",योगी
12,13-14,1,14.1,यतात्मा,यतात्मा,यतात्मन्{पुं;1;एक},यतात्मन्{पुं;1;एक},"विशेषणम्,18.1","विधेय_विशेषणम्,13.1#विधेय_विशेषणम्,12.1#विधेय_विशेषणम्,11.1#विधेय_विशेषणम्,10.1#विधेय_विशेषणम्,9.3#विधेय_विशेषणम्,8.2#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1",स्वसंयत
12,13-14,1,15.1,दृढ-,दृढ-निश्चय,दृढ,दृढ,"बहुव्रीहिः,15.2","त_पु_6,15.2#बहुव्रीहिः,15.2",दृढ-
12,13-14,1,15.2,निश्चयः,--,निश्चय{पुं;1;एक}/निश्चय{पुं;1;एक(निस्_चि1;घञ्;स्वादिः)},निश्चय{पुं;1;एक},"विशेषणम्,18.1","विधेय_विशेषणम्,14.1#विधेय_विशेषणम्,13.1#विधेय_विशेषणम्,12.1#विधेय_विशेषणम्,11.1#विधेय_विशेषणम्,10.1#विधेय_विशेषणम्,9.3#विधेय_विशेषणम्,8.2#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1#विशेषणम्,22.1#विशेषणम्,20.1#विशेषणम्,19.2#विशेषणम्,18.1#विशेषणम्,17.3",निश्चय
12,13-14,1,16.1,मयि,मयि,अस्मद्{सर्वनाम;7;एक},अस्मद्{सर्वनाम;7;एक},"विषयाधिकरणम्,17.3","देशाधिकरणम्,15.2#देशाधिकरणम्,2.2#विषयाधिकरणम्,17.3",मुझमें
12,13-14,1,17.1,अर्पित-,अर्पित-मनस्-बुद्धि,अर्पित,अर्पित,"बहुव्रीहिः,17.3","त_पु_6,17.3#द्वन्द्वः,17.2#बहुव्रीहिः,17.3",अर्पित-
12,13-14,1,17.2,मनः-,--,मनस्,मनस्,"द्वन्द्वः,17.3","त_पु_6,17.3#बहुव्रीहिः,17.3#द्वन्द्वः,17.3",मनः-
12,13-14,1,17.3,बुद्धिः,--,बुद्धि{स्त्री;1;एक}/बुद्धि{पुं;1;एक},बुद्धि{स्त्री;1;एक},"विशेषणम्,18.1","विधेय_विशेषणम्,15.2#विधेय_विशेषणम्,14.1#विधेय_विशेषणम्,13.1#विधेय_विशेषणम्,12.1#विधेय_विशेषणम्,11.1#विधेय_विशेषणम्,10.1#विधेय_विशेषणम्,9.3#विधेय_विशेषणम्,8.2#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1#विशेषणम्,22.1#विशेषणम्,20.1#विशेषणम्,19.2#विशेषणम्,18.1",बुद्धि
12,13-14,1,18.1,यः,यः,यद्{सर्वनाम;पुं;1;एक},यद्{सर्वनाम;पुं;1;एक},"कर्ता,23.1","विधेय_विशेषणम्,17.3#विधेय_विशेषणम्,15.2#विधेय_विशेषणम्,14.1#विधेय_विशेषणम्,13.1#विधेय_विशेषणम्,12.1#विधेय_विशेषणम्,11.1#विधेय_विशेषणम्,10.1#विधेय_विशेषणम्,9.3#विधेय_विशेषणम्,8.2#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1#विशेषणम्,22.1#विशेषणम्,20.1#विशेषणम्,19.2#नित्य_सम्बन्धः1,20.1",जो
12,13-14,1,19.1,मत्-,अस्मद्-भक्त,अस्मद्,अस्मद्,"षष्ठी-तत्पुरुषः,19.2","त_पु_6,19.2#त_पु_3,19.2#षष्ठी-तत्पुरुषः,19.2",मत्-
12,13-14,1,19.2,भक्तः,--,भक्त{पुं;1;एक},भक्त{पुं;1;एक},"विशेषणम्,18.1","विधेय_विशेषणम्,18.1#विधेय_विशेषणम्,17.3#विधेय_विशेषणम्,15.2#विधेय_विशेषणम्,14.1#विधेय_विशेषणम्,13.1#विधेय_विशेषणम्,12.1#विधेय_विशेषणम्,11.1#विधेय_विशेषणम्,10.1#विधेय_विशेषणम्,9.3#विधेय_विशेषणम्,8.2#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1#विशेषणम्,22.1#विशेषणम्,20.1",भक्त
12,13-14,1,20.1,सः,सः,तद्{सर्वनाम;पुं;1;एक},तद्{सर्वनाम;पुं;1;एक},"कर्ता,24.1","विधेय_विशेषणम्,19.2#विधेय_विशेषणम्,18.1#विधेय_विशेषणम्,17.3#विधेय_विशेषणम्,15.2#विधेय_विशेषणम्,14.1#विधेय_विशेषणम्,13.1#विधेय_विशेषणम्,12.1#विधेय_विशेषणम्,11.1#विधेय_विशेषणम्,10.1#विधेय_विशेषणम्,9.3#विधेय_विशेषणम्,8.2#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1#विशेषणम्,22.1#कर्ता,24.1",वह
12,13-14,1,21.1,मे,मे,अस्मद्{सर्वनाम;6;एक}/अस्मद्{सर्वनाम;4;एक},अस्मद्{सर्वनाम;6;एक},"षष्ठीसम्बन्धः,22.1","प्रयोजनम्1,15.2#प्रयोजनम्1,2.2#कर्म,15.2#षष्ठीसम्बन्धः,17.3#षष्ठीसम्बन्धः,15.2#षष्ठीसम्बन्धः,14.1#षष्ठीसम्बन्धः,13.1#षष्ठीसम्बन्धः,12.1#षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,8.2#षष्ठीसम्बन्धः,3.1#षष्ठीसम्बन्धः,2.2",मेरा
12,13-14,1,22.1,प्रियः,प्रियः,प्रिय{पुं;1;एक},प्रिय{पुं;1;एक},"विधेय_विशेषणम्,20.1","विधेय_विशेषणम्,20.1#विधेय_विशेषणम्,19.2#विधेय_विशेषणम्,18.1#विधेय_विशेषणम्,17.3#विधेय_विशेषणम्,15.2#विधेय_विशेषणम्,14.1#विधेय_विशेषणम्,13.1#विधेय_विशेषणम्,12.1#विधेय_विशेषणम्,11.1#विधेय_विशेषणम्,10.1#विधेय_विशेषणम्,9.3#विधेय_विशेषणम्,8.2#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1",प्रिय
12,13-14,1,23.1,अस्ति,.,अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,18.1","-#अभिहित_कर्ता,18.1",-
12,13-14,1,24.1,अस्ति,-,अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,20.1","-#अभिहित_कर्ता,20.1",-
