chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
10,041-042,1,8.2,कान्ता,-,कान्ता{स्त्री;1;एक},कान्ता{स्त्री;1;एक},"उपमानम्,3.1","उपमानम्,3.1",-
10,041-042,1,9.1,इव,इव,इव{अव्य},इव{अव्य},"उपमान_द्योतकः,8.2","उपमान_द्योतकः,8.2",जैसे
10,041-042,1,10.1,भामिनी,भामिनी,भामिनी{स्त्री;1;एक},भामिनी{स्त्री;1;एक},"विशेषणम्,3.1","विशेषणम्,3.1",सुन्दर-स्
10,041-042,1,11.1,अन्या,अन्या,अन्या{स्त्री;1;एक}/अन्या{सर्वनाम;स्त्री;1;एक},अन्या{स्त्री;1;एक},"कर्ता,2.1","कर्ता,2.1",अन्य
10,041-042,1,12.1,कनक-,कनक-सङ्काशैः,कनक,कनक,"कर्मधारयः,12.2","कर्मधारयः,12.2",कनक-
10,041-042,1,12.2,सङ्काशैः,--,सङ्काश{पुं;3;बहु}/सङ्काश{नपुं;3;बहु},सङ्काश{पुं;3;बहु},"विशेषणम्,17.1","विशेषणम्,17.1",सदृशों_से
10,041-042,1,13.1,मृदु-,मृदु-पीनैः,मृदु,मृदु,"कर्मधारयः,13.2","कर्मधारयः,13.2",मृदु-
10,041-042,1,13.2,पीनैः,--,पीन{पुं;3;बहु}/पीन{नपुं;3;बहु},पीन{पुं;3;बहु},"विशेषणम्,17.1","विशेषणम्,17.1",मोटों_से
10,041-042,1,14.1,मनोरमैः,मनोरमैः,मनोरम{पुं;3;बहु},मनोरम{पुं;3;बहु},"विशेषणम्,17.1","विशेषणम्,17.1",मनोरमों_से
10,041-042,1,15.1,मृदङ्गम्,मृदङ्गम्,मृदङ्ग{पुं;2;एक},मृदङ्ग{पुं;2;एक},"कर्म,16.1","कर्म,16.1",मृदङ्ग_को
10,041-042,1,16.1,परिविद्ध्य,परिविद्ध्य,परिविद्ध्य{ल्यप्;अव्य},परिविद्ध्य{ल्यप्;अव्य},"पूर्वकालः,18.1","पूर्वकालः,18.1",परिविद्ध्य-
10,041-042,1,17.1,अङ्गैः,--,अङ्ग{पुं;3;बहु}/अङ्ग{नपुं;3;बहु},अङ्ग{पुं;3;बहु},"करणम्,16.1","करणम्,16.1",अङ्गों_से
10,041-042,1,18.1,प्रसुप्ता,प्रसुप्ता,प्रसुप्ता{स्त्री;1;एक(प्र_ष्वप्1;क्त;अदादिः)},प्रसुप्ता{स्त्री;1;एक(प्र_ष्वप्1;क्त;अदादिः)},-,"विधेय_विशेषणम्,11.1#विधेय_विशेषणम्,10.1#विधेय_विशेषणम्,7.1#विधेय_विशेषणम्,6.2#विधेय_विशेषणम्,5.2#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1#विशेषणम्,18.2#कर्ता_बे_वेर्ब्स्,19.1",सोई_हुई
10,041-042,1,19.1,मत्त-,मत्त-लोचना,मत्त,मत्त,"बहुव्रीहिः,19.2","बहुव्रीहिः,19.2",मत्त-
10,041-042,1,19.2,लोचना,--,लोचना{स्त्री;1;एक},लोचना{स्त्री;1;एक},"विशेषणम्,3.1","विधेय_विशेषणम्,17.1#विधेय_विशेषणम्,11.1#विधेय_विशेषणम्,10.1#विधेय_विशेषणम्,7.1#विधेय_विशेषणम्,6.2#विधेय_विशेषणम्,5.2#विधेय_विशेषणम्,4.1#विशेषणम्,3.1#कर्ता_बे_वेर्ब्स्,19.1",लोचना
