chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
10,041-042,1,1.1,विपञ्चीम्,विपञ्चीम्,विपञ्ची{स्त्री;2;एक},विपञ्ची{स्त्री;2;एक},"कर्म,2.1","कर्म,2.1",-
10,041-042,1,2.1,परिगृह्य,परिगृह्य,परि_ग्रह्1{अव्य;ल्यप्;क्र्यादिः},परि_ग्रह्1{अव्य;ल्यप्;क्र्यादिः},"पूर्वकालः,18.1","पूर्वकालः,17.1#पूर्वकालः,18.1",घेर_कर
10,041-042,1,3.1,अन्या,अन्या,अन्या{स्त्री;1;एक}/अन्या{सर्वनाम;स्त्री;1;एक},अन्या{स्त्री;1;एक},"कर्ता,18.1","विशेषणम्,18.2#विशेषणम्,17.1#विशेषणम्,11.1#विशेषणम्,10.1#विशेषणम्,7.1#विशेषणम्,5.2#विशेषणम्,4.1#कर्ता,18.1",अन्य
10,041-042,1,4.1,नियता,नियता,नियता{स्त्री;1;एक},नियता{स्त्री;1;एक},"विशेषणम्,5.2","विशेषणम्,5.2",नियता
10,041-042,1,5.1,नृत्य-,नृत्य-शालिनी,नृत्य(नृत्1;यत्;दिवादिः)}/नृत्य(नृत्1{ण्यत्;दिवादिः),नृत्य(नृत्1;यत्;दिवादिः),"उपपद_तत्पुरुषः,5.2","उपपद_तत्पुरुषः,5.2",-
10,041-042,1,5.2,शालिनी,--,शालिन्{नपुं;1;द्वि}/शालिन्{नपुं;2;द्वि}/शालिनी{स्त्री;1;एक}/शालिन्{नपुं;8;द्वि}/शालि{नपुं;8;द्वि}/शालि{नपुं;1;द्वि}/शालि{नपुं;2;द्वि},शालिनी{स्त्री;1;एक},"विशेषणम्,3.1","विशेषणम्,3.1",सहित
10,041-042,1,6.1,निद्रा-,निद्रा-वशम्,निद्रा,निद्रा,"षष्ठी_तत्पुरुषः,6.2","षष्ठी_तत्पुरुषः,6.2",निद्रा-
10,041-042,1,6.2,वशम्,--,वश{पुं;2;एक}/वश{नपुं;1;एक}/वश{नपुं;2;एक},वश{पुं;2;एक},"कर्म,7.1","कर्म,7.1",वश_को
10,041-042,1,7.1,अनुप्राप्ता,अनुप्राप्ता,अनु_प्र_आप्1{कर्तरि;लुट्;प्र;एक;परस्मैपदी;स्वादिः}/अनुप्राप्तृ{पुं;1;एक(अनु_प्र_आप्1;तृच्;स्वादिः)}/अनुप्राप्ता{स्त्री;1;एक(अनु_प्र_आप्1;क्त;स्वादिः)},अनुप्राप्ता{स्त्री;1;एक(अनु_प्र_आप्1;क्त;स्वादिः)},"विशेषणम्,3.1","विशेषणम्,3.1",प्राप्त_करेगा
10,041-042,1,8.1,सह-,सह-कान्ता,-,-,"बहुव्रीहिः,8.2","बहुव्रीहिः,8.2",-
