anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,भिषक्,भिषक्,भिषज्{पुं;1;एक}/भिषज्{पुं;8;एक},भिषज्{पुं;1;एक},"घटकः,5.2","कर्ता_बे_वेर्ब्स्,8.1#कर्ता,3.1#कर्म,3.1#घटकः,5.2",चिकित्सक
2.1,द्रव्याणि,द्रव्याणि,द्रव्य{नपुं;1;बहु}/द्रव्य{नपुं;2;बहु}/द्रव्य{नपुं;8;बहु},द्रव्य{नपुं;1;बहु},"घटकः,5.2","कर्म,3.1#घटकः,5.2",द्रव्यों_को
3.1,उपस्थाता,उपस्थाता,उप_ष्था1{कर्तरि;लुट्;प्र;एक;परस्मैपदी;भ्वादिः}/उप_ष्था1{कर्मणि{लुट्;प्र;एक;आत्मनेपदी;भ्वादिः}/उपस्थातृ{पुं;1;एक(उप_ष्था1;तृच्;भ्वादिः)},उपस्थातृ{पुं;1;एक(उप_ष्था1;तृच्;भ्वादिः)},"घटकः,5.2","विधेय_विशेषणम्,1.1#विशेषणम्,4.1#कर्ता_बे_वेर्ब्स्,8.1#घटकः,5.2",उप_ष्था1एगा
4.1,रोगी,रोगी,रोगिन्{पुं;1;एक},रोगिन्{पुं;1;एक},"घटकः,5.2","कर्ता_बे_वेर्ब्स्,8.1#कर्ता,3.1#कर्म,3.1#घटकः,5.2",रोगी
5.1,पाद-,पाद-चतुष्टयम्,पाद,पाद,"षष्ठी-तत्पुरुषः,5.2","षष्ठी-तत्पुरुषः,5.2",पाद-
5.2,चतुष्टयम्,--,चतुष्टय{पुं;2;एक}/चतुष्टय{नपुं;1;एक}/चतुष्टय{नपुं;2;एक},चतुष्टय{नपुं;1;एक},"कर्ता,8.1","विशेषणम्,7.1#कर्म,3.1#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,8.1#कर्ता,3.1",चतुष्टय
6.1,चिकित्सितस्य,चिकित्सितस्य,चिकित्सित{नपुं;6;एक},चिकित्सित{नपुं;6;एक},"षष्ठीसम्बन्धः,5.2","षष्ठीसम्बन्धः,5.2",-
7.1,निर्दिष्टम्,निर्दिष्टम्,निर्दिष्ट{पुं;2;एक}/निर्दिष्ट{पुं;2;एक(निस्_दिश्1;क्त;तुदादिः)}/निर्दिष्ट{नपुं;1;एक(निस्_दिश्1;क्त;तुदादिः)}/निर्दिष्ट{नपुं;2;एक(निस्_दिश्1;क्त;तुदादिः)},निर्दिष्ट{नपुं;1;एक(निस्_दिश्1;क्त;तुदादिः)},"विशेषणम्,5.2","विशेषणम्,5.2#कर्म,3.1#विधेय_विशेषणम्,5.2#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,8.1#कर्ता,3.1",निर्दिष्ट
8.1,(भवति),(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,5.2;सकर्मक",-,होता_है
9.1,.,.,-,-,-,-,-
